"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"O14617",33938,42518,40858,35290,51905,37406,42975,44396,45181,35317,36427,55307,37773,41615,44450,52760,26029,35703,48619,38174,38924,49539,57504,28125,51883,35010,48399,55369
"O14618",66524,49618,73468,66663,66116,75761,54335.8636485397,70833.7880583599,74586.5467960727,62328.7713120212,64135,58596,61445,64743.5532168396,74611,63378.2219477158,102038.916640806,90118,75808,63235,76151,57897,40037,47637.0017087182,76435.3353121481,68535,77135,83845
"O14639",104900,66948,70326,30239,55455,112560,72533.2791318338,50507,47036,44808,54482,21137,27391,60326,36140,64441.4040292033,39467.144269925,68250,30167,27642,91369,49995,41370,49614.775258606,23889,69798,47961,40771
"O14672",40246,89625,37107,62340,82508,84902,59052,83801,62813,50686,56465,60837,116580,133230,63132,48260,102740,67797,81868,161740,70695,61237,89659,35102,45266,67187,68499,51149
"O14735",51881,61753,69682,52124,61966,74184,60924,49060,29181,54776,70102,53078,57837,90283,51827,53428,59154,60450,77603,28655,59327,74262,90202,50371,33380,30176,60345,55450.7269372946
"O14737",99905,98749,103520,143510,98064,70032,73353,75256,126130,83192,90312,163090,90051,76215,107930,94845,290260,101170,93007,40428,99215,67727,102250,103680,213230,198340,129010,118320
"O14744",36699,42899,37119,43648,54511,36120,45776,88121,45600,36285,41095,54773,45343,44347,48990,48673,79610,63416,59885,77603,44220,41091,43028,30698,52264,58570,55259,60341
"O14745",141930,144520,165450,121250,156190,103660,133358.3045856,186920,132990,141020,46029,117030,139050,128260,287820,125360,79238,140800,173510,197390,113430,65468,228560,78346,187950,318820,161710,133710
"O14773",669850,467360,530770,370580,594020,518300,667570,511750,281070,550720,537250,458420,589900,668130,632960,796310,249640,603820,539700,779670,333910,420320,629530,321610,319720,498590,592080,162110
"O14776",73510,64277,70187,67832,80013,84337,59464,98939,86826,71180,57790,72871,95983,61836,79975,77292,118580,72850,85313,75526,51222,85127,69658,44627,84046,79855,88168,78452
"O14818",242820,306020,325550,311840,305220,232180,265230,399190,379400,267760,266660,400010,293070,328020,332850,277870,367310,359050,373070,507430,242020,261220,360240,228630,446420,388740,437330,372190
"O14828",91922,106310,103610,159850,167270,145490,101461.521277964,157970,153720,93001,96762,123560,101120,109190,117280,124730,201780,138730,163050,136260,107670,143190,95597,74239,114360,114700,141080,133530
"O14841",25377,106230,13414,37165,54435,107200,17562,76218,12042,69043,49383.9227770838,10541,68444,42429,79415,45861,45161,105910,39071,245310,72208,56447,113420,35756,114160,39496,124040,30776
"O14880",363750,378550,428230,160290,612090,800020,487470,1171500,606330,621830,317170,438430,684230,521540,595510,394740,583820,750540,597310,298140,510000,624190,411700,472140,281150,449490,402690,829800
"O14907",248380,207940,234338.343313607,45982,222884.229754297,253500,257070,144720,311940,190510,243930.844627602,227780,228670,234018.576320244,214790,188710,23829,181400,213092.948557699,225840,192540,311960,239390,230430,203317.720382654,259700,180740,221249.736470902
"O14908",43617,55867,39805,66509,80014,47220,46291,40172,48171,37489,34734,35235,93750,52703,31538,43146,72810,52826,72857,66965,55263,54513,82279,45138,58553,83756,94042,78456
"O14920",216145.185578493,221970,230217.191331257,261540,306270,218210,245390,185659.86431241,311630,228620,232082.654510933,225903.90844153,100710,199543.873837685,209558.238609181,215201.036959192,181980,174560,179700.547419859,171607.591365718,348240,216760,157610,238022.949328131,169790,191540,180627.636541416,235330
"O14936",62433,61805,56691,13793,81104,42638,38721,67975,43630.4761701083,21288,16662,35196,145000,55784,61497,22888,13587,51030,34721,138570,27429,23742,55488,31126,34796,51480.8950077454,25264,48556.9584267142
"O14949",85161,70156,94052,64463,101510,179640,91294,69125,58249.4981677364,60363,45449,62366,141070,134860,133640,63452,81753,79841,137680,50172,113140,94403,201990,76285,61927,63159,80846,63345.9878016549
"P19105",1040100,1029600,1475300,934910,1306900,902570,1328300,882680,1507400,1156400,1282300,1174400,1033800,1127100,968890,1101700,758180,1246500,1023200,1164100,1014800,1373800,935190,1211800,1484700,1155800,1444100,1592900
"O14964",90347,93965,84802,75261,106350,84527,83387,81276,121640,95524,84394,93843,86532,87308,66085,78037,86907,85980,75811,65365,67087,89494,113970,94439,136940,92912,103510,113940
"O14972",27390,17112.9143644008,14416,16534.2200525509,11297,19685.0451016148,6553.8,5635.2,13977,14531,21931,11142,18737.9284900651,22546,17643.3684407452,10947,19724,13805,13359,21933.8362997644,12911,11697,15035,18073.2263795316,8412.1,13753,6773.4,19986
"O14974",186200,162800,141210,190220,110200,158900,168120,103250,266830,181920,183050,74854,79185,105670,176310,126860,28670,151730,72301,39406,224180,174130,91692,264720,118750,190410,74695,154880
"O14976",47289,52181,49539,76432.5323009829,100240,54769,52161.4151986416,82351,90622,52590,49551.0627635535,60673,50646,60646,85330,53837,115546.469559162,78684,61822,75740,32943,65549.9062494427,81690,38763.6356026841,81599,61101,153380,33047
"O14979",260440,295270,358690,523490,423100,247950,335740,254240,340280,340000,318230,411960,354540,315350,330500,374600,439460,255120,311890,289650,265050,402440,350660,188670,431460,406370,399360,398550
"O14980",135440,127700,133790,229620,155890,129160,122180,174580,160990,143140,124600,254630,193650,138430,129500,142090,384800,172280,181970,237980,123210,132920,129330,95640,177530,158270,246420,202510
"O15027",57413.8795253663,26661,61043.4322355525,42155,131440,41809,60915,60305,68375,56199,37635,67494,72772,63523,100240,69662,65551,58290,77416,46358,56894.7238924823,54270,64414,42666.9480565382,54072,57333,102140,74956.6875730038
"O15031",83163,92488,65936,50512,75354,70272,51688,52836,67509,49843,50993,65032,57996,83639,31524,38779,55797,83757,76663,54364,42348,55612,75304,44385.3818520414,68360,73964,84372,56550
"O15042",46936,28979,32684,62738,32942,40416,28511,53781,38277.7396214452,30286,16229,51266,52351,40040,41061,41646,75655,45844,43469,32409,41227,41746,36424,23168.5093181635,17332,42860,57173,18365
"O15061",1488100,582670,509210,1114100,155960,586610,470780,473280,1126400,933780,751930,4918.6,10805,244020,1267200,647630,6628.4,683970,236150,5800.7,2072700,559110,254000,2037800,114270,956810,79529,731130
"O15067",138210,123070,166630,252250,197820,110850,167950,298600,174290,119750,155180,262240,138350,151530,176200,155320,321060,192330,172880,179710,94212,94194,197150,95936,248160,311410,183610,282280
"O15075",147210,172900,67710,106710,111790,104156.071930994,100440,113730,144020,131050,161420,109176.176237814,81999,114189.378884706,83917,224160,109864.223952366,99661,109042.824500914,79037.9488447354,114950,167100,108130,76886,109300,84895,109759.834561958,120970
"O15127",165030,103930,95588,98493,162830,116510,103430,138400,74671,110390,110600,136480,136750,198660,144280,136660,124510,157970,118850,75918,112850,125950,143920,66709,88316,106250,147370,118493.013720728
"O15143",314440,267320,369240,268150,365270,369040,423760,315980,178430,355040,326770,381680,388500,518710,336920,387470,309170,359390,328340,356880,319290,324110,341130,190730,351290,259780,429040,280650
"O15144",370160,347130,365740,419370,321930,452290,417770,388060,152450,356640,392760,424650,461450,584220,396080,369400,402140,423490,386000,328870,404250,387700,460790,277010,196700,295390,538720,285050
"O15145",357420,432110,410680,358840,391040,409730,335740,305530,520600,407020,423550,412390,451500,514350,358200,364890,289050,374330,332850,343230,363210,390410,408890,329320,477230,392440,470350,549250
"O15160",19662.3637055543,18511,15915,46630,36453,14593,20180.8045403397,39007,23048.7149976561,20236.386338699,13133,27737,33608,15417,14333,15563,37558,18399,36470,33816,11502,21997.8610657953,12809,17560.8977335337,28750.9352506092,25990,63674,24086.5075704685
"O15162",63431,42409,41752,49114,93194,51662,40159,36474,40258,48666,33877,30709,77291,34633,44536,62017,14783,59777,56965,86203,47089.5880133272,45991,43434,38104.7584227011,33921,70848,72928,52180.3903771635
"O15173",342030,356760,406890,223300,355210,278830,409760,274770,447080,297100,430410,233380,278410,323960,322520,362140,282950,239260,308220,243050,347140,363430,385290,368840,373890,300280,283680,332750
"O15212",113810,120550,137330,155070,151240,111940,115830,173490,173750,132440,102320,163110,136000,103170,106270,107910,214440,161780,138470,196770,119000,119000,106860,116380,172110,170060,172090,201680
"O15230",695520,605830,329690,450730,233140,462240,349140,298890,476870,1082100,700200,259830,121550,279570,332870,325690,82674,1064200,202390,31286,298460,1101500,207090,931120,216150,448850,134090,482880
"O15247",73819,59808,79818,24412,36430,64276,15077,34156,43591,68992,60099,30306,35576.9959317529,61832,32951,68790,31287.4047507306,23581,26352,29680.9607906659,48252,60960,53388,37433.619461593,41719.1193317187,25410,39949,46138.3914107505
"O15258",71002,52706,58160,86697,66676,56927,77453,89676,59402.2349948457,55914,60665,74111,100170,93838,85976,74593,112970,80809,128640,88817.995343717,28502,68205.9157221408,77960,45721.4732151612,11299,59500,83759,69215.443592699
"O15260",82635,74239,101210,85503,116840,54846,162630,119990,93596,79114,122530,205550,166340,129880,108180,116200,131790,90823,125470,126650,94567,93656,138750,57940,86055,101280,119290,115690
"O15294",228960,233539.406492285,190850,281800,395130,232480.738864201,306614.982972548,292740,250046.071596097,247310,227275.302401132,468440,459620,306550,284750,277120,676900,204050,356710,396440,243750.588471104,247280,262680,161209.654815181,122020,286280,415070,312114.673024198
"O15305",39146,37542,42624,48021.8806664822,116580,59250,53450,50108,46818,37119,47632,49182,52722,67628,87193,65294,75868,56287,60293,64032.1890424723,67679,52157,55699,39982.1616030698,61531,37879,44055,55698
"O15347",63052,113210,38869,370140,148180,102281.753328038,93910.0015547361,190510,109040,49998,86102,318340,199020,38529,114185.668162615,74830,766320,114700,94735,302240,90345.9077710021,131330,104850,64751.0481190886,403570,95026,288870,80376
"O15355",33093.3253303836,29667,23729,39948,32877,30763,25452,106480,34406.3473706079,25393,28017.9798348046,72130,47741,26538,32871,36206,55870,24856,24116,89048,19845,29535,20308,15323,48366,40845,62548,34468
"O15371",117270,94988,99908,119360,122870,97560,102360,144370,44252,104350,105880,128330,127940,104050,96106,111220,192620,113830,163950,142730,89834,108230,114480,70172,121970,125630,175960,70546
"O15372",39489,24263,52500,95868,92577,49756,38622,95849,35922,45261,51735,75215,47581,69404,60145,53273,98194,45082,112160,91107,56067,38693,65710,43826,79098,48896,106670,60517
"O15382",76685,79666,85368,41532,56252,108660,35195,73181,23219,53725,19458,73297,37597,67774,69451,24061,45714,63771,126880,58690,53201,38738,296280,42282,16854,34117,64761,22951
"O15400",150440,151880,201760,123200,195680,141390,111090,115150,220640,165350,139970,137690,168620,151270,134370,148480,102410,127100,120990,64558,144560,188350,163790,107140,158600,155060,123220,146170
"O15460",39457.4971787271,19954,42114.2203556549,59015,61521.590856673,59116.3507731685,85653,30264,50667.223239053,17166,41158,178680,47930,48392.2231123209,46860.2450995072,53488,146000,26485,26370,63333,45432.6317637326,39032,39494,36179.6065228726,57163.0010360559,33069,50016,54294.9332575709
"O15484",28341,26502,19783,28913.2914045574,31002.6690186834,66119,28449.6817292146,56905,32536.5654039881,24728,25024.2913800576,25216.7471686496,21403,25918,27534,27979.9060462191,27612.5046997441,12527,38878,38755,23212,25478.7579914737,18453,21042.9040114671,31559.9289395158,26638.9548460786,22316,30140.4496168935
"O15498",40066,43484,43143,62707,66781,82178,59608,73270,81738,42001,47004,48736,74367,57551,46850,38206,96054,85092,76968,81826,55821,60305,82471,34050,81882,68482,81846,161410
"O15511",147450,137350,192520,123980,209820,199160,196040,152910,160890,171520,206860,153390,153480,173990,155810,190910,133720,169400,146590,153573.452581627,191720,177950,185590,138660,196630,158790,193940,187150
"O15533",185190,72515,147150,317700,103980,364790,111090,170110,165150,87915,103150,193000,111630,179850,134070,147220,152970,130260,189330,136710,135330,85051,136200,88040,55501,473060,294210,175040
"O15551",70103.8881938767,49060,58498.048250275,96266,201330,128430,56694.9394721026,74254,12175,54208.7312816634,47519.020896444,54821,379870,80608.0515977059,50382,67264.3451845838,164260,144220,67638,199700,32138,32251,101390.746278579,55018.1405541205,51597,46850,166230,62970.0990216709
"O43143",138180,109270,144620,185120,204960,115190,128060,148780,149560,134160,119480,173810,179400,157590,172410,163950,359870,208180,198670,212940,148510,183230,160210,95920,169510,177300,221980,209480
"O43169",198980,238350,269750,311790,214170,442620,252470,226380,196468.430512026,222280,241030,444900,473680,331290,308310,199060,193830,339760,1101900,285250,314880,218060,222000,156940,130290,194200,353170,276594.606863974
"O43172",44861,46232,48504,93779,91757,62262,45823,61660,65094,37796,46811,92946,86228,44141,50579,57260,132070,41747,68261,81206,36234,64734,57556,25548,78582,76103,103800,70418
